"OriginalTaxonNo" "ResolvedTaxonNo" "TaxonName" "TaxonRank" "ParentTaxonNo" "TaxonValidity" "AcceptedNumber" "AcceptedName"
"33" NA "txn:46709" "Gompotherium" "5" NA NA NA NA
"34" NA "txn:46736" "Grison" "5" NA NA NA NA
"35" NA "txn:46844" "Hemiacis" "5" NA NA NA NA
"36" NA "txn:47036" "Hippotherium dolichops" "3" NA NA NA NA
"37" NA "txn:47368" "Ischnoglossa" "5" NA NA NA NA
"38" NA "txn:47503" "Leidyotherium" "5" NA NA NA NA
"39" NA "txn:47545" "Leptauchenia loganensis" "3" NA NA NA NA
"40" NA "txn:47555" "Leptauchenia schucherti" "3" NA NA NA NA
"41" NA "txn:47633" "Leptotylopus" "5" NA NA NA NA
"42" NA "txn:47799" "Lupus" "5" NA NA NA NA
"43" NA "txn:47862" "Mammonteus" "5" NA NA NA NA
"44" NA "txn:48104" "Menodus dispar" "3" NA NA NA NA
"45" NA "txn:48209" "Merychippus shirleyae" "3" NA NA NA NA
"46" NA "txn:48514" "Microlagus" "5" NA NA NA NA
"47" NA "txn:48806" "Montanolagus" "5" NA NA NA NA
"48" NA "txn:49068" "Neomeryx" "5" NA NA NA NA
"49" NA "txn:49142" "Neotomodon" "5" NA NA NA NA
"50" NA "txn:49265" "Ochotona alpina" "3" NA NA NA NA
"51" NA "txn:49379" "Oreinotherium" "5" NA NA NA NA
"52" NA "txn:49452" "Oryctomys" "5" NA NA NA NA
"53" NA "txn:49454" "Oryctotherium" "5" NA NA NA NA
"54" NA "txn:49493" "Otognosis" "5" NA NA NA NA
"55" NA "txn:49908" "Paramys pattersoni" "3" NA NA NA NA
"56" NA "txn:49984" "Parelephas eelsi" "3" NA NA NA NA
"57" NA "txn:50070" "Pedomys dideltus" "3" NA NA NA NA
"58" NA "txn:50282" "Petersonella" "5" NA NA NA NA
"59" NA "txn:50470" "Plesiothomomys" "5" NA NA NA NA
"60" NA "txn:50501" "Pliauchenia minor" "3" NA NA NA NA
"61" NA "txn:50545" "Pliohippus minimus" "3" NA NA NA NA
"62" NA "txn:50655" "Praotherium" "5" NA NA NA NA
"63" NA "txn:50704" "Procamelus medius" "3" NA NA NA NA
"64" NA "txn:50724" "Procoileus" "5" NA NA NA NA
"65" NA "txn:50807" "Promastodon" "5" NA NA NA NA
"66" NA "txn:50974" "Protocamelus" "5" NA NA NA NA
"67" NA "txn:51136" "Psammomys" "5" NA NA NA NA
"68" NA "txn:51425" "Scaphoceros" "5" NA NA NA NA
"69" NA "txn:51445" "Schistodelta" "5" NA NA NA NA
"70" NA "txn:51582" "Sinclairia" "5" NA NA NA NA
"71" NA "txn:51725" "Spermophilus undulatus" "3" NA NA NA NA
"72" NA "txn:51892" "Superbison" "5" NA NA NA NA
"73" NA "txn:51906" "Syllophodus" "5" NA NA NA NA
"74" NA "txn:52152" "Telmatolestes" "5" NA NA NA NA
"75" NA "txn:52173" "Teonoma" "5" NA NA NA NA
"76" NA "txn:52614" "Urus" "5" NA NA NA NA
"77" NA "txn:52633" "Vesperimus" "5" NA NA NA NA
"78" NA "txn:52763" "Antiquacupula sulcata" "3" NA NA NA NA
"79" NA "txn:52844" "Hamamelidoideae" "8" NA NA NA NA
"80" NA "txn:52845" "Androdecidua endressii" "3" NA NA NA NA
"81" NA "txn:52848" "Quadriplatanus" "5" NA NA NA NA
"82" NA "txn:52908" "Aesculus" "5" NA NA NA NA
"83" NA "txn:52944" "Diceratherium advenus" "3" NA NA NA NA
"84" NA "txn:53055" "Platananthus synandrus" "3" NA NA NA NA
"85" NA "txn:53057" "Platananthus synandrus" "3" NA NA NA NA
"86" NA "txn:53101" "Lamphropeltis calligaster" "3" NA NA NA NA
"87" NA "txn:53183" "Bavariboa hermi" "3" NA NA NA NA
"88" NA "txn:53234" "Eryx primitivus" "3" NA NA NA NA
"89" NA "txn:53291" "Pontogenus" "5" NA NA NA NA
"90" NA "txn:53306" "Beringiaphyllum" "5" NA NA NA NA
"91" NA "txn:53359" "Rhacopteris subcuneata" "3" NA NA NA NA
"92" NA "txn:53363" "Pseudocricetodontini" "7" NA NA NA NA
"93" NA "txn:53406" "Epiaceratherium turgaicum" "3" NA NA NA NA
"94" NA "txn:53449" "Ficus talamancana" "3" NA NA NA NA
"95" NA "txn:53499" "Antarctodarwinella nordenskjoldi" "3" NA NA NA NA
"96" NA "txn:53501" "Struthipotera" "5" NA NA NA NA
"97" NA "txn:53502" "Struthioptera camachoi" "3" NA NA NA NA
"98" NA "txn:53503" "Arrhoges haastinaus" "3" NA NA NA NA
"99" NA "txn:53509" "Perseanthus crossmanensis" "3" NA NA NA NA
"100" NA "txn:53521" "Chloranthistemon" "5" NA NA NA NA
"101" NA "txn:53522" "Aphanocalyx" "5" NA NA NA NA
"102" NA "txn:53533" "Tucanopollis" "5" NA NA NA NA
"103" NA "txn:53534" "Tucanopollis crisopolensis" "3" NA NA NA NA
"104" NA "txn:53539" "Retiacolpites columellae" "3" NA NA NA NA
"105" NA "txn:53556" "Keratosperma" "5" NA NA NA NA
"106" NA "txn:53617" "Androglandula" "5" NA NA NA NA
"107" NA "txn:53619" "Lactoripollenites" "5" NA NA NA NA
"108" NA "txn:53628" "Eograndulosa" "5" NA NA NA NA
"109" NA "txn:53630" "Ensete" "5" NA NA NA NA
"110" NA "txn:53632" "Impennes" "13" NA NA NA NA
"111" NA "txn:53727" "Castanopsoidea columbiana" "3" NA NA NA NA
"112" NA "txn:53728" "Castaneoideae" "8" NA NA NA NA
"113" NA "txn:53730" "Trigonobalanoidea americana" "3" NA NA NA NA
"114" NA "txn:53731" "Fagoideae" "8" NA NA NA NA
"115" NA "txn:53733" "Paleojulacea laxa" "3" NA NA NA NA
"116" NA "txn:53734" "Fagoideae" "8" NA NA NA NA
"117" NA "txn:53753" "Borhyaena equiana" "3" NA NA NA NA
"118" NA "txn:53754" "Acrocyon equianus" "3" NA NA NA NA
"119" NA "txn:53773" "Apera americana" "3" NA NA NA NA
"120" NA "txn:53776" "Acrohyaenodon acutidens" "3" NA NA NA NA
"121" NA "txn:53785" "Hippomaneoidea warmanensis" "3" NA NA NA NA
"122" NA "txn:53800" "Eomimosoidea" "5" NA NA NA NA
"123" NA "txn:53804" "Liriodendron" "5" NA NA NA NA
"124" NA "txn:53810" "Triplochitioxylon oregonensis" "3" NA NA NA NA
"125" NA "txn:53855" "Bignonoides orbicularis" "3" NA NA NA NA
"126" NA "txn:53858" "Amentogerdiopollenites oligocenensis" "3" NA NA NA NA
"127" NA "txn:53860" "Parvobalanus gracilis" "3" NA NA NA NA
"128" NA "txn:53862" "Amplobalanus texensis" "3" NA NA NA NA
"129" NA "txn:53863" "Didelphis cuvieri" "3" NA NA NA NA
"130" NA "txn:53869" "Pseudofagus idahoensis" "3" NA NA NA NA
"131" NA "txn:53875" "Arvicanthis nairobae" "3" NA NA NA NA
"132" NA "txn:53880" "Arvicanthis abyssinicus virescens" "2" NA NA NA NA
"133" NA "txn:53885" "Sargentodoxa" "5" NA NA NA NA
"134" NA "txn:53929" "Diplotropis" "5" NA NA NA NA
"135" NA "txn:53967" "Cyathoides thyrsopterioides" "3" NA NA NA NA
"136" NA "txn:53970" "Timothyia trinervis" "3" NA NA NA NA
"137" NA "txn:53973" "Gnafalea jeffersonii" "3" NA NA NA NA
"138" NA "txn:54004" "Artisophyton approximatum" "3" NA NA NA NA
"139" NA "txn:54005" "Schizeaceae" "9" NA NA NA NA
"140" NA "txn:54007" "Megaphyton protuberans" "3" NA NA NA NA
"141" NA "txn:54008" "Artisophyton goldenbergii" "3" NA NA NA NA
"142" NA "txn:54010" "Oclloa" "5" NA NA NA NA
"143" NA "txn:54011" "Oclloa cesariana" "3" NA NA NA NA
"144" NA "txn:54013" "Obandotheca" "5" NA NA NA NA
"145" NA "txn:54014" "Obandotheca laminensis" "3" NA NA NA NA
"146" NA "txn:54025" "Vormela petenyii" "3" NA NA NA NA
"147" NA "txn:54030" "Colubrini" "7" NA NA NA NA
"148" NA "txn:54035" "Myriotheca scaberrima" "3" NA NA NA NA
"149" NA "txn:54039" "Corynepteris erosa" "3" NA NA NA NA
"150" NA "txn:54041" "Asterotheca miltoni" "3" NA NA NA NA
"151" NA "txn:54059" "Felis propampina" "3" NA NA NA NA
"152" NA "txn:54062" "Kankakeea thallyformis" "3" NA NA NA NA
"153" NA "txn:54101" "Tomiodendron peruvianum" "3" NA NA NA NA
"154" NA "txn:54105" "Diplothmema bodenbenderi" "3" NA NA NA NA
"155" NA "txn:54123" "Gleichenipteris antarcticus" "3" NA NA NA NA
"156" NA "txn:54127" "Paraethomys lissasfensis" "3" NA NA NA NA
"157" NA "txn:54128" "Mus ique" "3" NA NA NA NA
"158" NA "txn:54129" "Lophiomys maroccanus" "3" NA NA NA NA
"159" NA "txn:54131" "Ruscinomys africanus" "3" NA NA NA NA
"160" NA "txn:54132" "Protatera davidi" "3" NA NA NA NA
"161" NA "txn:54150" "Microtus cabrerae" "3" NA NA NA NA
"162" NA "txn:54256" "Alveoipora racemosa" "3" NA NA NA NA
"163" NA "txn:54267" "Amblyctonus sinosus" "3" NA NA NA NA
"164" NA "txn:54281" "Elephas youheensis" "3" NA NA NA NA
"165" NA "txn:54282" "Sus subtriquetra" "3" NA NA NA NA
"166" NA "txn:54283" "Mimomys youhenicus" "3" NA NA NA NA
"167" NA "txn:54297" "Isastrea trigeri" "3" NA NA NA NA
"168" NA "txn:54320" "Wetheredellidae" "9" NA NA NA NA
"169" NA "txn:54327" "Chlorophycaea" "17" NA NA NA NA
"170" NA "txn:54366" "Conolophus" "5" NA NA NA NA
"171" NA "txn:54415" "Eodictyoptychus arumaensis" "3" NA NA NA NA
"172" NA "txn:54494" "Ceratodus cruciferus" "3" NA NA NA NA
"173" NA "txn:54500" "Lophiochoerus peroni" "3" NA NA NA NA
"174" NA "txn:54501" "Lophiochoerus" "5" NA NA NA NA
"175" NA "txn:54569" "Hemitelia pinnata" "3" NA NA NA NA
"176" NA "txn:54593" "Quercus distincta" "3" NA NA NA NA
"177" NA "txn:54600" "Artocarpus lessigiana" "3" NA NA NA NA
"178" NA "txn:54602" "Ficus densifolia" "3" NA NA NA NA
"179" NA "txn:54603" "Ficus goshenensis" "3" NA NA NA NA
"180" NA "txn:54604" "Nelumbium lacunosum" "3" NA NA NA NA
"181" NA "txn:54607" "Cercidiphyllum elongatum" "3" NA NA NA NA
"182" NA "txn:54610" "Hyperbaena diforma" "3" NA NA NA NA
"183" NA "txn:54613" "Magnolia dayana" "3" NA NA NA NA
"184" NA "txn:54616" "Cinnamomum acrodromum" "3" NA NA NA NA
"185" NA "txn:54618" "Cinnamomum dilleri" "3" NA NA NA NA
"186" NA "txn:54619" "Cryptocarya praesamarensis" "3" NA NA NA NA
"187" NA "txn:54624" "Laurophyllum litseaefolia" "3" NA NA NA NA
"188" NA "txn:54625" "Neolitsea lata" "3" NA NA NA NA
"189" NA "txn:54627" "Persea praelingue" "3" NA NA NA NA
"190" NA "txn:54629" "Persea pseudocarolinensis" "3" NA NA NA NA
"191" NA "txn:54630" "Hydrangea californica" "3" NA NA NA NA
"192" NA "txn:54636" "Liquidambar californicum" "3" NA NA NA NA
"193" NA "txn:54643" "Platanus appendiculata" "3" NA NA NA NA
"194" NA "txn:54644" "Platanus coloradensis" "3" NA NA NA NA
"195" NA "txn:54645" "Chrysobalanus eoicaco" "3" NA NA NA NA
"196" NA "txn:54648" "Vauquelinia exigua" "3" NA NA NA NA
"197" NA "txn:54650" "Dalbergia rubra" "3" NA NA NA NA
"198" NA "txn:54653" "Desmodium indentum" "3" NA NA NA NA
"199" NA "txn:54655" "Inga ionensis" "3" NA NA NA NA
